學號,性別,分發宿舍,分發寢室,分發床號
41002003E,女,女一舍,5316,1
41084202I,女,女一舍,5316,2
41001023E,女,女一舍,5316,3
41001017E,女,女一舍,5316,4
41023106L,女,女一舍,5316,5
41023118L,女,女一舍,5316,6
41020123L,女,女一舍,5317,1
41020133L,女,女一舍,5317,2
41020303L,女,女一舍,5317,3
41020104L,女,女一舍,5317,4
41020107L,女,女一舍,5317,5
41020205L,女,女一舍,5317,6
41060012T,女,女一舍,5318,1
41060022T,女,女一舍,5318,2
41060024T,女,女一舍,5318,3
41021237L,女,女一舍,5318,4
41021143L,女,女一舍,5318,5
41021241L,女,女一舍,5318,6
41006104E,女,女一舍,5319,1
41006205E,女,女一舍,5319,2
41006122E,女,女一舍,5319,3
41006223E,女,女一舍,5319,4
41006221E,女,女一舍,5319,5
41006118E,女,女一舍,5319,6
41023240L,女,女一舍,5320,1
41023238L,女,女一舍,5320,2
41023216L,女,女一舍,5320,3
40923235L,女,女一舍,5320,4
41023126L,女,女一舍,5320,5
41023902L,女,女一舍,5320,6
41030009A,女,女一舍,5321,1
41030047A,女,女一舍,5321,2
41030029A,女,女一舍,5321,3
41030030A,女,女一舍,5321,4
41030007A,女,女一舍,5321,5
41030018A,女,女一舍,5321,6
40902017E,女,女一舍,5322,1
40902018E,女,女一舍,5322,2
40983009I,女,女一舍,5322,3
40902043E,女,女一舍,5322,4
40902027E,女,女一舍,5322,5
40983010I,女,女一舍,5322,6
40951026S,女,女一舍,5323,1
41051007S,女,女一舍,5323,2
41051015S,女,女一舍,5323,3
40920115L,女,女一舍,5323,4
40992019M,女,女一舍,5323,5
40951030S,女,女一舍,5323,6
41009015E,女,女一舍,5324,1
41009020E,女,女一舍,5324,2
41009014E,女,女一舍,5324,3
41020234L,女,女一舍,5324,4
41020332L,女,女一舍,5324,5
41020330L,女,女一舍,5324,6
41083003I,女,女一舍,5325,1
41083010I,女,女一舍,5325,2
41083004I,女,女一舍,5325,3
41083028I,女,女一舍,5325,4
41083026I,女,女一舍,5325,5
41083022I,女,女一舍,5325,6
40984208I,女,女一舍,5326,1
40984227I,女,女一舍,5326,2
40984219I,女,女一舍,5326,3
40984220I,女,女一舍,5326,4
40984224I,女,女一舍,5326,5
40984216I,女,女一舍,5326,6
40821223L,女,女一舍,5327,1
40860102T,女,女一舍,5327,2
40860115T,女,女一舍,5327,3
40860205T,女,女一舍,5327,4
40820120L,女,女一舍,5327,5
40860116T,女,女一舍,5327,6
40905024E,女,女一舍,5329,1
40905030E,女,女一舍,5329,2
40905034E,女,女一舍,5329,3
40906106E,女,女一舍,5329,4
40906116E,女,女一舍,5329,5
40906123E,女,女一舍,5329,6
40984201I,女,女一舍,5330,1
40984240I,女,女一舍,5330,2
